iter	Passed	Remaining
640	1479	828
641	1480	825
642	1481	822
643	1484	820
644	1486	818
645	1487	815
646	1489	812
647	1490	809
648	1491	806
649	1492	803
650	1493	800
651	1495	798
652	1497	795
653	1499	793
654	1502	791
655	1504	788
656	1505	785
657	1506	783
658	1507	780
659	1508	777
660	1509	774
661	1512	772
662	1514	769
663	1515	767
664	1517	764
665	1518	761
666	1519	758
667	1520	755
668	1521	753
669	1523	750
670	1524	747
671	1527	745
672	1529	743
673	1530	740
674	1532	737
675	1533	735
676	1535	732
677	1536	729
678	1538	727
679	1540	724
680	1542	722
681	1543	719
682	1545	717
683	1546	714
684	1547	711
685	1548	708
686	1550	706
687	1551	703
688	1552	700
689	1555	698
690	1558	696
691	1559	694
692	1560	691
693	1561	688
694	1562	685
695	1564	683
696	1565	680
697	1566	677
698	1568	675
699	1571	673
700	1573	671
701	1574	668
702	1575	665
703	1577	663
704	1578	660
705	1579	657
706	1580	655
707	1582	652
708	1585	650
709	1588	648
710	1589	645
711	1590	643
712	1591	640
713	1592	638
714	1594	635
715	1595	632
716	1596	630
717	1599	628
718	1602	626
719	1603	623
720	1605	621
721	1606	618
722	1607	615
723	1608	613
724	1610	610
725	1611	608
726	1614	606
727	1616	604
728	1618	601
729	1619	598
730	1620	596
731	1622	593
732	1623	591
733	1624	588
734	1626	586
735	1629	584
736	1632	582
737	1633	579
738	1634	577
739	1636	574
740	1637	572
741	1638	569
742	1639	567
743	1641	564
744	1644	562
745	1646	560
746	1648	558
747	1649	555
748	1650	553
749	1652	550
750	1653	548
751	1654	545
752	1655	543
753	1660	541
754	1663	539
755	1665	537
756	1666	535
757	1668	532
758	1669	530
759	1671	527
760	1673	525
761	1676	523
762	1678	521
763	1679	518
764	1681	516
765	1682	513
766	1683	511
767	1685	509
768	1686	506
769	1689	504
770	1691	502
771	1692	499
772	1693	497
773	1695	495
774	1696	492
775	1698	490
776	1699	487
777	1701	485
778	1703	483
779	1705	481
780	1707	478
781	1708	476
782	1709	473
783	1711	471
784	1712	469
785	1714	466
786	1715	464
787	1717	462
788	1719	459
789	1720	457
790	1722	455
791	1723	452
